,ENTERTAINMENTRATING,FOODRATING,GROUNDSERVICERATING,OVERALLSCORE,SEATCOMFORTRATING,SERVICERATING,PURPOSE,VALUERATING,WIFIRATING,LONGDISTANCE,YEAR,AIRLINE
343,0.0,2.0,2.33,3.33,2.67,2.67,0.33,1.67,0.0,0.0,2017.0,PenAir
344,0.25,1.14,1.31,1.67,1.5,1.69,0.97,1.39,0.19,0.25,2016.86,Peruvian Airlines
345,0.0,5.0,3.5,5.5,3.0,2.5,1.0,4.0,0.0,0.0,2019.0,Petroleum Air Services
346,1.82,2.68,2.72,4.88,2.76,3.25,0.82,2.87,1.08,0.65,2018.61,Philippine Airlines
347,0.08,0.13,1.53,2.13,1.55,1.71,0.82,2.03,0.05,0.08,2018.66,Pobeda Airlines
348,0.32,2.01,1.96,2.91,2.27,2.59,0.76,1.95,0.28,0.24,2018.39,Porter Airlines
349,0.33,1.29,1.8,3.13,2.22,2.51,0.87,1.96,0.16,0.22,2017.71,Precision Air
350,0.57,0.57,2.0,2.57,2.0,1.57,1.0,2.71,0.14,0.29,2018.0,Primera Air
351,0.77,2.77,2.85,5.23,2.54,3.38,1.0,3.23,0.54,0.62,2018.62,Privilege Style
352,2.51,2.67,2.96,5.2,2.97,3.22,0.82,2.85,0.62,0.8,2018.17,Qantas Airways
353,0.33,3.02,3.67,6.21,3.37,3.79,0.9,3.12,0.12,0.12,2018.29,QantasLink
354,3.74,3.82,3.76,7.43,3.95,4.24,0.84,3.94,1.92,0.9,2018.48,Qatar Airways
355,0.0,2.5,4.0,9.0,3.5,5.0,0.5,5.0,0.0,0.0,2017.0,Qazaq Air
356,0.19,0.95,1.52,2.19,1.9,1.95,0.57,1.57,0.19,0.19,2019.14,Ravn Alaska
357,1.5,1.25,1.25,2.75,2.0,2.5,1.0,1.75,0.25,0.5,2020.5,Red Wings Airlines
358,0.28,2.22,2.61,4.28,2.83,2.72,0.94,3.11,0.0,0.17,2017.67,Regent Airways
359,0.16,3.07,3.71,7.69,3.4,4.04,0.69,3.87,0.04,0.11,2019.87,Regional Express
360,0.75,3.48,4.0,7.8,4.0,4.3,0.91,3.98,1.23,0.2,2022.16,Rex Airlines
361,0.0,5.0,5.0,10.0,4.0,5.0,0.0,5.0,0.0,0.0,2019.0,Rhein-Neckar Air
362,0.56,2.62,3.5,6.75,3.56,3.94,0.75,3.56,0.19,0.38,2017.94,Rossiya Airlines
363,1.58,2.45,2.41,4.56,2.9,2.92,0.84,2.75,0.53,0.55,2018.13,Royal Air Maroc
364,2.98,3.38,3.57,6.63,3.67,3.72,0.91,3.76,0.52,0.92,2017.2,Royal Brunei Airlines
365,1.9,2.08,2.03,3.3,2.54,2.36,0.86,2.24,0.48,0.84,2018.83,Royal Jordanian Airlines
366,1.49,2.54,2.32,4.22,2.8,3.07,0.67,2.61,0.64,0.75,2019.14,Rwandair
367,0.23,0.89,2.1,3.72,2.03,2.44,0.92,2.53,0.19,0.2,2018.16,Ryanair
368,0.63,2.93,3.12,6.05,3.37,3.42,0.81,3.63,0.35,0.3,2017.79,S7 Siberia Airlines
369,0.19,1.0,1.5,2.38,1.25,1.56,0.56,1.31,0.12,0.19,2018.31,SA Express
370,1.21,1.74,2.34,3.71,2.54,2.59,0.75,2.29,0.85,0.5,2018.44,SAS Scandinavian
371,0.7,1.85,2.1,3.52,2.32,2.52,0.93,2.34,0.43,0.53,2018.25,SATA Air Azores
372,0.77,1.98,2.02,2.82,1.95,2.23,0.93,1.95,0.25,0.56,2016.81,SATA International
373,0.0,0.0,3.0,5.0,2.5,2.5,1.0,3.0,0.0,0.0,2016.5,SATENA
374,0.0,3.0,3.0,7.0,3.0,3.5,1.0,4.75,0.0,0.0,2017.5,SCAT Airlines
375,0.0,0.0,4.0,6.0,3.0,4.0,1.0,3.0,0.0,0.0,2019.0,SVG Air
376,0.0,1.5,3.5,8.0,3.5,2.0,1.0,2.5,0.0,0.0,2017.0,Safarilink
377,0.0,0.5,1.0,1.0,1.0,1.5,0.5,1.0,0.5,0.0,2015.0,Safi Airways
378,0.33,0.17,1.33,2.5,1.17,1.5,1.0,2.17,0.33,0.33,2020.83,Salam Air
379,0.25,0.0,2.75,5.25,1.75,2.5,1.0,2.5,0.25,0.25,2018.5,Sansa Airlines
380,1.0,2.5,1.5,2.0,2.0,2.5,1.0,2.0,1.0,0.5,2015.5,Santa Barbara Airlines
381,1.95,2.42,2.19,4.23,2.85,2.77,0.83,2.59,0.97,0.81,2019.16,Saudi Arabian Airlines
382,0.4,1.1,2.39,3.86,2.24,2.45,0.92,2.57,0.45,0.29,2018.3,Scoot
383,0.0,0.13,1.4,1.8,1.2,1.87,0.87,1.33,0.0,0.0,2016.8,Seaborne Airlines
384,0.5,2.5,2.9,5.3,2.6,3.2,0.8,2.8,0.4,0.4,2020.2,SereneAir
385,0.14,4.29,3.0,7.14,3.57,4.43,0.86,4.14,0.43,0.14,2015.29,Shaheen Air
386,0.89,2.0,2.44,4.11,2.22,2.56,0.67,2.33,0.0,0.44,2017.44,Shandong Airlines
387,1.35,1.88,2.24,3.53,2.24,2.24,0.76,2.35,0.18,0.59,2017.18,Shanghai Airlines
388,1.14,1.9,2.19,3.57,2.52,2.86,0.52,2.71,0.33,0.71,2017.67,Shenzhen Airlines
389,1.5,2.11,2.54,4.43,2.57,2.79,0.82,2.89,0.25,0.75,2017.39,Sichuan Airlines
390,1.49,2.69,3.27,5.54,2.87,3.35,0.84,2.92,0.66,0.67,2017.27,SilkAir
391,0.25,0.51,1.4,1.96,1.44,1.66,0.84,1.5,0.23,0.23,2020.14,Silver Airways
392,3.51,3.42,3.77,6.81,3.64,3.87,0.84,3.53,1.07,0.9,2018.1,Singapore Airlines
393,0.26,1.24,1.74,2.84,1.71,2.03,0.95,2.13,0.21,0.26,2018.89,Sky Airline
394,0.26,1.07,2.07,3.19,2.25,2.46,0.88,2.09,0.22,0.25,2020.52,Sky Express Airlines
395,1.0,1.0,1.67,3.0,1.67,2.33,1.0,2.33,0.67,1.0,2021.0,SkyUp Airlines
396,0.0,0.75,3.75,6.5,3.25,3.75,0.75,3.25,0.0,0.0,2017.25,SkyWest Airlines
397,0.0,2.5,2.5,4.5,2.5,3.0,1.0,2.0,0.0,0.0,2017.0,SkyWork Airlines
398,0.0,0.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,2021.0,Skybus
399,0.25,1.0,3.5,7.0,3.75,4.0,0.75,4.0,0.25,0.25,2017.0,Skymark Airlines
400,0.0,2.5,3.0,4.5,3.0,5.0,1.0,2.0,0.0,0.0,2019.0,Skytrans Airlines
401,0.41,2.58,3.3,6.12,3.38,3.79,1.0,3.5,0.34,0.2,2015.8,Small Planet Airlines
402,0.08,1.42,1.92,2.92,1.58,2.58,1.0,1.83,0.08,0.08,2021.67,SmartLynx Airlines
403,0.69,1.54,2.24,3.82,2.15,2.35,0.83,2.38,0.36,0.38,2017.67,SmartWings
404,0.0,0.0,1.33,1.33,1.0,1.33,1.0,1.67,0.0,0.0,2021.0,Smartavia
405,1.0,3.25,3.25,5.5,3.5,3.5,1.0,2.75,0.25,0.5,2017.5,Solomon Airlines
406,0.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2018.0,Somon Air
407,1.6,2.56,2.68,4.74,2.69,2.92,0.71,2.71,0.23,0.67,2017.19,South African Airways
408,1.08,1.65,2.23,3.63,2.26,2.64,0.83,2.36,1.19,0.48,2019.34,Southwest Airlines
409,0.58,1.35,2.21,3.69,2.25,2.47,0.84,2.31,0.49,0.32,2019.4,SpiceJet
410,0.37,0.62,1.52,2.09,1.43,1.78,0.91,1.59,0.36,0.33,2018.96,Spirit Airlines
411,0.29,1.19,2.26,3.1,1.42,2.35,0.9,2.42,0.23,0.29,2017.74,Spring Airlines
412,2.55,2.89,2.82,5.27,2.98,3.26,0.85,3.11,0.63,0.83,2018.23,SriLankan Airlines
413,0.2,1.73,2.31,4.02,2.38,2.58,0.8,2.76,0.18,0.13,2017.62,Sriwijaya Air
414,0.31,1.08,1.77,2.92,2.15,2.15,1.0,1.85,0.15,0.23,2017.77,Star Peru
415,4.0,4.5,5.0,10.0,5.0,5.0,1.0,5.0,2.5,1.0,2015.0,StarFlyer
416,0.71,1.27,1.82,2.6,1.89,2.17,0.94,1.86,0.56,0.46,2019.45,Sun Country Airlines
417,1.5,5.0,5.0,10.0,4.5,5.0,1.0,5.0,0.0,0.5,2015.5,Sun-Air
418,0.43,1.51,2.35,4.08,2.29,2.84,0.92,2.43,0.24,0.22,2019.8,SunExpress
419,1.07,1.47,1.84,2.78,1.8,2.36,0.99,2.0,0.39,0.62,2018.28,Sunwing Airlines
420,1.0,1.0,3.0,5.0,4.0,4.0,1.0,3.0,0.0,1.0,2017.0,Suparna Airlines
421,0.57,0.0,1.57,2.43,1.14,1.86,0.86,2.0,0.57,0.14,2022.14,Super Air Jet
422,0.56,1.56,1.78,2.22,2.0,2.11,0.89,1.89,0.22,0.33,2019.0,Surinam Airways
423,1.76,2.82,2.91,5.23,2.94,3.32,0.76,2.95,0.5,0.6,2018.44,Swiss Intl Air Lines
424,0.46,0.65,1.89,3.01,1.84,2.12,0.92,2.11,0.57,0.26,2019.97,Swoop
425,0.14,0.5,2.43,4.5,2.14,2.86,0.93,2.71,0.0,0.14,2020.21,T'Way Air
426,1.56,2.32,2.22,4.32,2.51,2.2,0.83,3.0,0.39,0.78,2019.0,TAAG Angola Airlines
427,2.0,3.5,3.5,4.5,3.5,4.0,0.5,1.5,0.5,1.0,2015.5,TACA Airlines
428,0.4,1.33,1.4,2.47,2.0,2.27,1.0,1.8,0.33,0.4,2018.07,TACV Cabo Verde Airlines
429,0.31,0.92,2.0,3.38,1.92,2.15,0.92,2.0,0.31,0.31,2020.08,TAG Airlines
430,1.95,2.36,2.59,4.7,2.75,2.82,0.84,2.73,0.2,0.8,2015.34,TAM Airlines
431,0.39,0.72,0.89,1.44,1.06,1.28,1.0,1.17,0.28,0.33,2018.11,TAME
432,1.04,1.8,1.96,3.31,2.23,2.42,0.83,2.14,0.47,0.48,2019.06,TAP Portugal
433,0.22,1.33,2.22,3.78,1.78,2.0,1.0,2.44,0.22,0.22,2018.78,TAR Aerolineas
434,0.64,2.65,2.7,5.1,2.87,3.07,0.8,2.93,0.49,0.36,2018.32,TAROM Romanian
435,1.18,2.28,2.73,5.48,2.93,3.49,0.99,3.12,0.24,0.46,2019.7,TUI Airways
436,1.17,1.77,2.66,4.03,2.34,2.77,0.97,2.74,0.46,0.57,2017.91,TUIfly
437,2.0,4.0,2.0,5.0,1.0,4.0,1.0,1.0,0.0,1.0,2016.0,TUIfly Nordic
438,0.0,4.0,5.0,9.5,4.5,5.0,0.5,5.0,0.0,0.0,2022.5,TUS Airways
439,0.0,1.33,2.67,4.67,2.67,2.33,0.67,3.0,0.0,0.0,2017.33,Tailwind Airlines
440,0.33,1.08,1.58,1.92,1.5,1.83,0.92,1.5,0.33,0.33,2017.58,Tame Línea Aérea Del Ecuador
441,0.18,1.33,2.83,5.14,2.73,3.18,0.93,3.22,0.09,0.1,2018.84,Thai AirAsia
442,2.69,3.2,3.37,6.2,3.42,3.51,0.82,3.4,0.62,0.83,2017.86,Thai Airways
443,0.35,0.95,1.87,2.95,1.9,2.05,0.91,2.08,0.26,0.29,2018.58,Thai Lion Air
444,0.92,3.16,3.86,7.32,3.89,4.15,0.77,3.95,0.22,0.33,2020.52,Thai Smile Airways
445,1.87,2.35,2.76,4.77,2.6,3.04,0.97,2.86,0.32,0.76,2016.31,Thomas Cook Airlines
446,3.0,4.5,3.5,8.0,3.5,4.0,1.0,4.5,0.0,1.0,2016.0,Thomas Cook Airlines Belgium
447,2.5,2.5,2.5,4.5,3.0,3.0,1.0,2.5,0.0,1.0,2016.0,Thomas Cook Airlines Scandinavia
448,1.65,2.47,3.03,5.49,2.84,3.3,0.99,3.09,0.32,0.64,2015.66,Thomson Airways
449,1.92,2.92,3.17,6.33,3.17,4.08,0.92,3.92,0.08,0.83,2017.25,Tianjin Airlines
450,3.0,3.0,4.0,8.0,4.0,4.0,1.0,4.0,0.0,1.0,2015.0,Tibet Airlines
451,0.26,0.74,2.56,4.79,2.47,2.72,0.9,2.86,0.13,0.2,2016.58,Tigerair
452,0.17,0.5,1.63,2.4,1.54,1.75,0.92,1.82,0.16,0.16,2018.37,Tigerair Australia
453,0.43,1.29,2.14,3.71,2.43,2.86,1.0,2.57,0.0,0.14,2016.71,Tigerair Taiwan
454,0.83,2.63,3.57,7.27,3.67,3.93,1.0,3.7,0.73,0.3,2018.8,Titan Airways
455,0.5,1.33,1.17,2.5,2.0,1.67,1.0,2.0,0.0,0.5,2015.0,Transaero Airlines
456,0.36,1.03,2.02,3.62,2.05,2.38,0.93,2.43,0.18,0.24,2018.62,Transavia
457,0.0,2.5,4.5,7.5,3.5,3.5,0.5,3.5,0.0,0.0,2018.5,Trigana Air
458,0.0,0.33,3.67,6.33,3.33,3.33,1.0,3.0,0.0,0.0,2020.0,Tropic Air Belize
459,0.88,2.03,2.15,3.58,2.73,2.55,0.73,2.48,0.45,0.52,2017.48,Tunisair
460,2.44,2.66,2.12,4.03,2.6,2.72,0.81,2.58,0.94,0.79,2018.45,Turkish Airlines
461,0.57,1.71,1.71,3.0,2.14,1.71,0.71,2.0,0.36,0.57,2017.0,Turkmenistan Airlines
462,1.33,1.33,2.33,4.0,2.33,2.33,1.0,2.33,0.33,0.67,2016.33,UP by El Al
463,0.77,1.31,1.77,2.66,2.14,2.28,0.82,1.8,0.52,0.42,2014.99,US Airways
464,0.0,3.0,3.33,5.5,3.17,3.5,1.0,3.5,0.0,0.0,2018.33,US-Bangla Airlines
465,0.33,1.67,2.33,4.33,3.67,3.33,0.67,2.33,0.33,0.33,2021.33,Uganda Airlines
466,0.71,1.4,1.95,3.17,2.1,2.31,0.86,2.35,0.38,0.51,2017.77,Ukraine International
467,0.33,0.33,3.67,6.33,3.67,3.0,1.0,3.67,0.33,0.33,2022.33,Ultra Air
468,1.4,1.47,1.89,2.72,2.0,2.28,0.8,1.84,0.98,0.65,2018.68,United Airlines
469,0.06,1.88,2.44,4.25,2.69,3.31,0.88,2.88,0.06,0.06,2018.0,Ural Airlines
470,0.0,1.0,2.5,2.0,3.0,2.5,1.0,3.5,0.0,0.0,2017.0,Utair Aviation
471,1.39,2.39,2.29,3.9,2.55,2.29,0.84,2.94,0.23,0.77,2018.39,Uzbekistan Airways
472,0.43,2.57,2.71,4.86,2.71,3.43,1.0,3.0,0.0,0.14,2015.71,V Air
473,0.0,3.33,3.83,7.67,3.33,4.0,0.67,3.5,0.0,0.0,2015.67,VLM Airlines
474,0.15,0.69,2.69,4.85,2.31,3.08,0.92,3.15,0.08,0.15,2017.38,Vanilla Air
475,0.27,0.55,1.55,1.73,1.45,1.64,1.0,1.36,0.27,0.09,2018.55,ViaAir
476,0.35,0.85,1.75,2.57,1.94,2.04,0.89,1.98,0.31,0.29,2019.19,VietJet Air
477,1.64,2.55,3.03,5.53,3.3,3.15,0.8,3.36,0.25,0.68,2017.45,Vietnam Airlines
478,2.48,2.17,2.73,4.6,2.96,2.76,0.83,2.76,1.36,0.75,2016.51,Virgin America
479,2.88,2.79,3.24,5.2,2.8,3.39,0.9,2.91,0.92,0.89,2017.24,Virgin Atlantic
480,1.42,2.1,2.7,4.45,2.63,2.97,0.79,2.53,0.87,0.59,2018.54,Virgin Australia
481,1.82,3.71,3.79,7.37,3.91,4.08,0.77,3.82,1.2,0.51,2019.3,Vistara
482,0.29,0.5,0.91,1.2,1.09,1.19,0.96,1.19,0.29,0.29,2020.41,Viva Air
483,0.34,0.67,1.35,1.83,1.31,1.51,0.93,1.59,0.42,0.32,2020.96,VivaAerobús
484,0.43,0.64,1.19,1.62,1.45,1.36,0.87,1.47,0.36,0.38,2017.83,VivaColombia
485,0.34,0.59,1.24,1.66,1.24,1.4,0.93,1.44,0.32,0.31,2019.78,Volaris
486,0.68,0.99,2.76,5.17,2.88,3.04,0.96,3.05,0.56,0.25,2019.85,Volotea
487,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2021.0,Voyage Air
488,0.24,0.72,1.63,2.51,1.73,1.88,0.87,1.82,0.2,0.21,2017.53,Vueling Airlines
489,0.43,0.77,1.84,2.77,1.9,2.25,0.93,2.03,0.37,0.38,2017.13,WOW air
490,1.73,2.0,3.0,3.67,1.87,2.47,0.93,2.4,0.4,1.0,2018.2,Wamos Air
491,1.12,1.45,2.1,3.41,2.25,2.57,0.88,2.15,0.82,0.51,2019.24,WestJet Airlines
492,0.27,0.67,1.27,1.73,1.8,2.07,1.0,1.4,0.33,0.27,2020.53,Wideroe
493,0.0,0.0,1.33,2.0,1.33,1.17,0.67,1.17,0.0,0.0,2020.17,Winair
494,0.2,0.55,1.4,2.0,1.35,1.45,0.85,1.5,0.1,0.2,2020.85,Wingo
495,0.1,0.1,2.1,3.45,2.45,2.25,0.95,2.1,0.1,0.1,2018.6,Wings Air
496,0.34,0.85,1.63,2.61,1.75,2.03,0.92,1.95,0.25,0.3,2018.99,Wizz Air
497,1.67,1.67,0.67,1.0,1.33,1.33,0.67,1.67,0.33,0.67,2021.67,World2Fly
498,1.56,2.24,2.38,3.76,1.93,2.84,0.96,2.69,0.62,0.76,2016.64,XL Airways France
499,1.94,2.65,2.57,4.94,2.93,3.02,0.77,3.02,0.39,0.74,2017.64,Xiamen Airlines
500,0.0,3.0,3.0,5.5,3.0,3.0,1.0,3.0,0.0,0.0,2017.0,Yakutia Airlines
501,0.0,3.0,2.0,8.0,4.0,2.0,1.0,4.0,0.0,0.0,2017.0,Yangon Airways
502,0.0,1.2,2.8,4.4,2.6,2.8,0.8,3.0,0.0,0.0,2019.2,Yeti Airlines
503,0.72,1.39,2.0,3.75,2.28,2.61,0.89,2.44,1.53,0.33,2022.39,ZIPAIR
504,0.0,1.0,3.0,7.0,2.0,4.0,0.0,5.0,0.0,0.0,2022.0,Zambia Airways
505,0.3,1.43,2.23,3.77,2.63,2.7,0.8,2.32,0.22,0.24,2018.19,airBaltic
506,0.45,1.77,2.36,4.09,2.36,2.55,0.91,2.36,0.45,0.45,2019.59,airblue
507,0.25,1.7,2.1,3.08,2.58,2.75,0.48,2.0,0.15,0.12,2017.15,bmi Regional
508,0.19,1.17,2.3,4.29,2.45,2.81,0.89,2.74,0.15,0.15,2018.13,easyJet
509,1.33,2.0,1.67,2.13,1.4,1.93,0.93,1.47,0.67,0.87,2018.2,euroAtlantic Airways
510,0.27,1.03,2.15,3.7,2.55,2.48,0.88,2.27,0.15,0.21,2017.21,fastjet
511,0.21,0.68,1.26,1.89,1.26,1.32,0.74,1.74,0.21,0.21,2020.26,flyadeal
512,0.0,2.25,3.5,5.75,2.5,3.25,1.0,3.25,0.0,0.0,2022.0,flybe
513,1.0,1.38,1.86,3.07,2.09,2.27,0.84,2.09,0.54,0.6,2019.29,flydubai
